,加权利率,品种,品种2,日期,时间,最新利率
3914,2.9128,DR021,1,09-26,12:00,2.8500
3915,2.9013,DR1M,1,09-26,12:00,2.9000
3916,2.9411,DR2M,1,09-26,12:00,3.0500
3917,2.7500,DR3M,1,09-26,12:00,2.7500
3918,3.4500,DR4M,1,09-26,12:00,3.4500
3919,1.6454,DIBO001,0,09-26,12:00,1.6700
3920,2.5741,DIBO007,0,09-26,12:00,2.9000
3921,2.9995,DIBO014,0,09-26,12:00,2.8700
3922,2.3484,DR001,1,09-24,17:00,2.3000
3923,3.1284,DIBO021,0,09-26,12:00,3.0200
3924,2.8000,DIBO1M,0,09-26,12:00,2.8000
3925,3.0826,DIBO2M,0,09-26,12:00,3.1000
3926,3.7571,DIBO3M,0,09-26,12:00,3.9000
3927,3.0000,DIBO4M,0,09-26,12:00,3.0000
3928,3.8231,DIBO6M,0,09-26,12:00,3.8000
3929,4.2000,DIBO1Y,0,09-26,12:00,4.2000
3930,1.6208,DR001,1,09-26,12:00,1.6000
3931,2.4482,DR007,1,09-26,12:00,2.0000
3932,2.9714,DR014,1,09-26,12:00,3.0000
3933,2.6040,DR007,1,09-24,17:00,2.3000
3934,2.9128,DR021,1,09-26,12:00,2.8500
3935,2.9013,DR1M,1,09-26,12:00,2.9000
3936,2.9411,DR2M,1,09-26,12:00,3.0500
3937,2.7500,DR3M,1,09-26,12:00,2.7500
3938,3.4500,DR4M,1,09-26,12:00,3.4500
3939,1.6454,DIBO001,0,09-26,12:00,1.6700
3940,2.5741,DIBO007,0,09-26,12:00,2.9000
3941,2.9995,DIBO014,0,09-26,12:00,2.8700
3942,3.1284,DIBO021,0,09-26,12:00,3.0200
3943,2.8000,DIBO1M,0,09-26,12:00,2.8000
3944,3.0069,DR014,1,09-24,17:00,3.0100
3945,3.0826,DIBO2M,0,09-26,12:00,3.1000
3946,3.7571,DIBO3M,0,09-26,12:00,3.9000
3947,3.0000,DIBO4M,0,09-26,12:00,3.0000
3948,3.8231,DIBO6M,0,09-26,12:00,3.8000
