,加权利率,品种,品种2,日期,时间,最新利率
4275,4.2000,DIBO9M,0,09-26,17:00,4.2000
4276,4.2000,DIBO1Y,0,09-26,17:00,4.2000
4277,2.3484,DR001,1,09-24,17:00,2.3000
4278,1.6128,DR001,1,09-26,17:00,1.6000
4279,2.4596,DR007,1,09-26,17:00,2.5000
4280,2.9681,DR014,1,09-26,17:00,2.9000
4281,2.9097,DR021,1,09-26,17:00,2.9500
4282,2.8906,DR1M,1,09-26,17:00,2.8000
4283,2.8817,DR2M,1,09-26,17:00,2.7500
4284,2.8000,DR3M,1,09-26,17:00,2.8000
4285,3.4500,DR4M,1,09-26,17:00,3.4500
4286,1.6446,DIBO001,0,09-26,17:00,1.6500
4287,2.5741,DIBO007,0,09-26,17:00,2.9000
4288,2.6040,DR007,1,09-24,17:00,2.3000
4289,3.0223,DIBO014,0,09-26,17:00,2.8000
4290,3.1201,DIBO021,0,09-26,17:00,3.0000
4291,2.7616,DIBO1M,0,09-26,17:00,2.7000
4292,3.1425,DIBO2M,0,09-26,17:00,3.4000
4293,3.0106,DIBO3M,0,09-26,17:00,2.8800
4294,3.0000,DIBO4M,0,09-26,17:00,3.0000
4295,3.7511,DIBO6M,0,09-26,17:00,2.8150
4296,4.2000,DIBO9M,0,09-26,17:00,4.2000
4297,4.2000,DIBO1Y,0,09-26,17:00,4.2000
4298,1.6128,DR001,1,09-26,17:00,1.6000
4299,2.6040,DR007,1,09-24,17:00,2.3000
4300,3.0069,DR014,1,09-24,17:00,3.0100
4301,2.4596,DR007,1,09-26,17:00,2.5000
4302,2.9681,DR014,1,09-26,17:00,2.9000
4303,2.9097,DR021,1,09-26,17:00,2.9500
4304,2.8906,DR1M,1,09-26,17:00,2.8000
4305,2.8817,DR2M,1,09-26,17:00,2.7500
4306,2.8000,DR3M,1,09-26,17:00,2.8000
4307,3.4500,DR4M,1,09-26,17:00,3.4500
4308,1.6446,DIBO001,0,09-26,17:00,1.6500
4309,2.5741,DIBO007,0,09-26,17:00,2.9000
4310,3.0223,DIBO014,0,09-26,17:00,2.8000
4311,3.0077,DR021,1,09-24,17:00,2.9000
4312,3.1201,DIBO021,0,09-26,17:00,3.0000
4313,2.7616,DIBO1M,0,09-26,17:00,2.7000
4314,3.1425,DIBO2M,0,09-26,17:00,3.4000
4315,3.0106,DIBO3M,0,09-26,17:00,2.8800
4316,3.0000,DIBO4M,0,09-26,17:00,3.0000
4317,3.7511,DIBO6M,0,09-26,17:00,2.8150
4318,4.2000,DIBO9M,0,09-26,17:00,4.2000
4319,4.2000,DIBO1Y,0,09-26,17:00,4.2000
4320,1.6128,DR001,1,09-26,17:00,1.6000
4321,2.4596,DR007,1,09-26,17:00,2.5000
4322,2.9912,DR1M,1,09-24,17:00,2.8000
4323,2.9681,DR014,1,09-26,17:00,2.9000
4324,2.9097,DR021,1,09-26,17:00,2.9500
4325,2.8906,DR1M,1,09-26,17:00,2.8000
4326,2.8817,DR2M,1,09-26,17:00,2.7500
4327,2.8000,DR3M,1,09-26,17:00,2.8000
4328,3.4500,DR4M,1,09-26,17:00,3.4500
4329,1.6446,DIBO001,0,09-26,17:00,1.6500
4330,2.5741,DIBO007,0,09-26,17:00,2.9000
4331,3.0223,DIBO014,0,09-26,17:00,2.8000
4332,3.1201,DIBO021,0,09-26,17:00,3.0000
4333,3.1137,DR2M,1,09-24,17:00,3.1000
4334,2.7616,DIBO1M,0,09-26,17:00,2.7000
4335,3.1425,DIBO2M,0,09-26,17:00,3.4000
4336,3.0106,DIBO3M,0,09-26,17:00,2.8800
4337,3.0000,DIBO4M,0,09-26,17:00,3.0000
4338,3.7511,DIBO6M,0,09-26,17:00,2.8150
4339,4.2000,DIBO9M,0,09-26,17:00,4.2000
4340,4.2000,DIBO1Y,0,09-26,17:00,4.2000
4341,1.6128,DR001,1,09-26,17:00,1.6000
4342,2.4596,DR007,1,09-26,17:00,2.5000
4343,2.9681,DR014,1,09-26,17:00,2.9000
4344,2.9703,DR3M,1,09-24,17:00,3.0000
4345,2.9097,DR021,1,09-26,17:00,2.9500
4346,2.8906,DR1M,1,09-26,17:00,2.8000
4347,2.8817,DR2M,1,09-26,17:00,2.7500
4348,2.8000,DR3M,1,09-26,17:00,2.8000
4349,3.4500,DR4M,1,09-26,17:00,3.4500
4350,1.6446,DIBO001,0,09-26,17:00,1.6500
4351,2.5741,DIBO007,0,09-26,17:00,2.9000
4352,3.0223,DIBO014,0,09-26,17:00,2.8000
4353,3.1201,DIBO021,0,09-26,17:00,3.0000
4354,2.7616,DIBO1M,0,09-26,17:00,2.7000
4355,3.5000,DR6M,1,09-24,17:00,3.5000
4356,3.1425,DIBO2M,0,09-26,17:00,3.4000
4357,3.0106,DIBO3M,0,09-26,17:00,2.8800
4358,3.0000,DIBO4M,0,09-26,17:00,3.0000
4359,3.7511,DIBO6M,0,09-26,17:00,2.8150
4360,4.2000,DIBO9M,0,09-26,17:00,4.2000
4361,4.2000,DIBO1Y,0,09-26,17:00,4.2000
4362,1.6128,DR001,1,09-26,17:00,1.6000
4363,2.4596,DR007,1,09-26,17:00,2.5000
4364,2.9681,DR014,1,09-26,17:00,2.9000
4365,2.9097,DR021,1,09-26,17:00,2.9500
4366,2.3753,DIBO001,0,09-24,17:00,2.3600
4367,2.8906,DR1M,1,09-26,17:00,2.8000
4368,2.8817,DR2M,1,09-26,17:00,2.7500
4369,2.8000,DR3M,1,09-26,17:00,2.8000
4370,3.4500,DR4M,1,09-26,17:00,3.4500
4371,1.6446,DIBO001,0,09-26,17:00,1.6500
4372,2.5741,DIBO007,0,09-26,17:00,2.9000
4373,3.0223,DIBO014,0,09-26,17:00,2.8000
4374,3.1201,DIBO021,0,09-26,17:00,3.0000
4375,2.7616,DIBO1M,0,09-26,17:00,2.7000
4376,3.1425,DIBO2M,0,09-26,17:00,3.4000
4377,2.6220,DIBO007,0,09-24,17:00,3.2900
4378,3.0106,DIBO3M,0,09-26,17:00,2.8800
4379,3.0000,DIBO4M,0,09-26,17:00,3.0000
4380,3.7511,DIBO6M,0,09-26,17:00,2.8150
4381,4.2000,DIBO9M,0,09-26,17:00,4.2000
4382,4.2000,DIBO1Y,0,09-26,17:00,4.2000
4383,1.6128,DR001,1,09-26,17:00,1.6000
4384,2.4596,DR007,1,09-26,17:00,2.5000
4385,2.9681,DR014,1,09-26,17:00,2.9000
4386,2.9097,DR021,1,09-26,17:00,2.9500
4387,2.8906,DR1M,1,09-26,17:00,2.8000
4388,3.0367,DIBO014,0,09-24,17:00,3.3000
4389,2.8817,DR2M,1,09-26,17:00,2.7500
4390,2.8000,DR3M,1,09-26,17:00,2.8000
4391,3.4500,DR4M,1,09-26,17:00,3.4500
4392,1.6446,DIBO001,0,09-26,17:00,1.6500
4393,2.5741,DIBO007,0,09-26,17:00,2.9000
4394,3.0223,DIBO014,0,09-26,17:00,2.8000
4395,3.1201,DIBO021,0,09-26,17:00,3.0000
4396,2.7616,DIBO1M,0,09-26,17:00,2.7000
4397,3.1425,DIBO2M,0,09-26,17:00,3.4000
4398,3.0106,DIBO3M,0,09-26,17:00,2.8800
4399,3.2380,DIBO021,0,09-24,17:00,3.1300
4400,3.0000,DIBO4M,0,09-26,17:00,3.0000
4401,3.7511,DIBO6M,0,09-26,17:00,2.8150
4402,4.2000,DIBO9M,0,09-26,17:00,4.2000
4403,4.2000,DIBO1Y,0,09-26,17:00,4.2000
4404,1.6128,DR001,1,09-26,17:00,1.6000
4405,2.4596,DR007,1,09-26,17:00,2.5000
4406,2.9681,DR014,1,09-26,17:00,2.9000
4407,2.9097,DR021,1,09-26,17:00,2.9500
4408,2.8906,DR1M,1,09-26,17:00,2.8000
4409,2.8817,DR2M,1,09-26,17:00,2.7500
