,客户名称,2019-04-29,生效起始日,生效截至日,2019-04-30,2019-04-30变动
339,绵阳市商业银行股份有限公司,16769.77,20131225,20190831,2411769.77,2395000.0
340,美国纽约银行,111111111.11,20140418,20141018,111111111.11,0.0
341,美的集团财务有限公司,455287752.93,20170313,20190218,469168875.88,13881122.949999988
342,自贡银行股份有限公司,182500.0,20101018,20190831,1900000.0,1717500.0
343,航天科技财务有限责任公司,226896414.27,20170830,20190726,262516218.32,35619804.04999998
344,芜湖扬子农村商业银行股份有限公司,9478853.18,20111114,20190930,5578853.18,-3900000.0
345,花旗银行（中国）,111111111.11,20140208,20160930,111111111.11,0.0
346,苏州银行股份有限公司,163777263.92,20100915,20190930,179755472.84,15978208.920000017
347,荷兰合作银行（中国）有限公司,1.0,20100915,20120703,1.0,0.0
348,荷兰安智银行（ING）,444444444.44,20140418,20151231,444444444.44,0.0
349,莱商银行股份有限公司,615227777.78,20110829,20170823,615227777.78,0.0
350,营口银行股份有限公司,12896000.0,20100915,20190428,1096000.0,-11800000.0
351,葫芦岛银行股份有限公司,280000.0,20100915,20200130,80000.0,-200000.0
352,蒙特利尔银行,100000000.0,20100914,20120914,100000000.0,0.0
353,衡水银行股份有限公司,19973.7,20100915,20190731,19973.7,0.0
354,西安银行股份有限公司,435889501.53,20100915,20190930,417389501.53,-18500000.0
355,西班牙对外银行,166666666.67,20160114,20160120,166666666.67,0.0
356,西藏银行股份有限公司,300000000.0,20190130,20200131,300000000.0,0.0
357,贵州银行股份有限公司,2946053.78,20131104,20190930,2946053.78,0.0
358,贵阳农村商业银行股份有限公司,0.01,20140221,20170830,0.01,0.0
359,贵阳银行股份有限公司,139257654.0,20100915,20190831,52957654.0,-86300000.0
360,赣州农村商业银行股份有限公司,111111111.11,20140218,20150930,111111111.11,0.0
361,赣州银行股份有限公司,34945284.02,20100914,20191031,39122171.13,4176887.1099999994
362,辽阳银行股份有限公司,4217750.0,20120605,20190930,15217750.0,11000000.0
363,达州银行股份有限公司,0.0,20131125,20190930,0.0,0.0
364,遂宁银行股份有限公司,0.0,20131024,20190930,0.0,0.0
365,遵义市商业银行股份有限公司,300000.0,20101018,20111018,300000.0,0.0
366,邢台银行股份有限公司,130900000.0,20100915,20181105,130900000.0,0.0
367,邯郸银行股份有限公司,74400.0,20131125,20191231,6074400.0,6000000.0
368,郑州宇通集团财务有限公司,55555555.56,20170830,20180930,55555555.56,0.0
369,郑州银行股份有限公司,285581437.48,20101018,20191231,655888.18,-284925549.3
370,鄂尔多斯农村商业银行股份有限公司,222222222.22,20140208,20150930,222222222.22,0.0
371,鄂尔多斯银行股份有限公司,0.01,20100915,20191031,0.01,0.0
372,重庆三峡银行股份有限公司,8665242.95,20101104,20191031,10410242.95,1745000.0
373,重庆农村商业银行股份有限公司,2973954392.99,20101018,20190930,2870628187.35,-103326205.63999987
374,重庆化医控股集团财务有限公司,77777777.78,20141118,20151008,77777777.78,0.0
375,重庆鈊渝金融租赁有限公司,0.01,20170830,20180930,0.01,0.0
376,重庆银行股份有限公司,13670923.84,20100914,20190930,12951923.84,-719000.0
377,金华银行股份有限公司,153170.0,20100914,20190930,153170.0,0.0
378,金川集团财务有限公司,111111111.11,20170830,20170830,111111111.11,0.0
379,铁岭银行股份有限公司,111111111.11,20100915,20150930,111111111.11,0.0
380,铜陵农村商业银行股份有限公司,0.01,20150225,20170830,0.01,0.0
381,铜陵有色金属集团财务有限公司,0.0,20140311,20190930,0.0,0.0
382,锦州银行股份有限公司,66417.0,20101008,20190930,66417.0,0.0
383,长城华西银行股份有限公司,71341.33,20101122,20170904,71341.33,0.0
384,长安银行股份有限公司,2286464.81,20131029,20190930,286464.81,-2000000.0
385,长春农村商业银行股份有限公司,8700000.0,20160321,20190930,8700000.0,0.0
386,长春发展农村商业银行股份有限公司,0.01,20131010,20190930,0.01,0.0
387,长沙农村商业银行股份有限公司,498500000.0,20190410,20200331,498500000.0,0.0
388,长沙芙蓉农村合作银行,27777777.78,20140218,20151008,27777777.78,0.0
389,长沙银行股份有限公司,426786999.11,20100915,20190930,480110999.11,53324000.0
390,长治银行股份有限公司,39000.0,20100915,20191130,239000.0,200000.0
391,阜新银行股份有限公司,3056465.0,20100915,20190415,3056465.0,0.0
392,阜阳颍淮农村商业银行股份有限公司,24011111.11,20170103,20180830,24011111.11,0.0
393,阳泉市商业银行股份有限公司,3333333.33,20131104,20160120,3333333.33,0.0
394,阳泉煤业集团财务有限责任公司,,20190428,20190831,159000000.0,
395,陕西延长石油财务有限公司,100000000.0,20181109,20190731,100000000.0,0.0
396,陕西煤业化工集团财务有限公司,10860000.0,20181008,20190930,0.0,-10860000.0
397,陕西秦农农村商业银行股份有限公司,108727663.0,20170103,20190930,108227663.0,-500000.0
398,青岛农村商业银行股份有限公司,18944788.15,20140218,20190831,18024788.15,-920000.0
399,青岛银行股份有限公司,318176381.19,20100915,20190801,221091957.43,-97084423.75999999
400,青海银行股份有限公司,63179.64,20101122,20190930,63179.64,0.0
401,鞍山银行股份有限公司,2751318.0,20100915,20190930,84472.0,-2666846.0
402,韩亚中国,222222222.22,20150206,20150728,222222222.22,0.0
403,首钢集团财务有限公司,166856.18,20170830,20190630,66856.18,-100000.0
404,马钢集团财务有限公司,111111111.11,20170830,20170830,111111111.11,0.0
405,驻马店银行股份有限公司,100000000.0,20121116,20121116,100000000.0,0.0
406,鹰潭农村商业银行股份有限公司,45555555.56,20141028,20180630,45555555.56,0.0
407,黄山太平农村商业银行股份有限公司,100000000.0,20140218,20151008,100000000.0,0.0
408,黑河农村商业银行股份有限公司,111111111.11,20160310,20160930,111111111.11,0.0
409,齐商银行股份有限公司,985074.98,20100915,20191031,3255074.98,2270000.0
410,齐鲁银行股份有限公司,73189128.19,20100915,20191031,67481928.19,-5707200.0
411,龙江银行股份有限公司,155000000.0,20130320,20180930,155000000.0,0.0
