,客户名称,2019-04-29,生效起始日,生效截至日,2019-04-30,2019-04-30变动
81,兴业银行股份有限公司,60873565.78,20100527,20190930,591811.89,-60281753.89
82,兴化农村商业银行股份有限公司,20000000.0,20121116,20121116,20000000.0,0.0
83,兵器装备集团财务有限责任公司,111111111.11,20100915,20170830,111111111.11,0.0
84,兵工财务有限责任公司,387730513.92,20140418,20191130,390179816.57,2449302.649999976
85,内蒙古呼和浩特金谷农村商业银行股份有限公司,200000000.0,20150323,20191130,200000000.0,0.0
86,内蒙古银行股份有限公司,30000.0,20120305,20191130,3030000.0,3000000.0
87,凉山州商业银行股份有限公司,33333333.33,20140218,20160120,33333333.33,0.0
88,加拿大皇家银行,222222222.22,20160114,20160120,222222222.22,0.0
89,包商银行股份有限公司,6719961.0,20101008,20191231,219961.0,-6500000.0
90,北京农村商业银行股份有限公司,1035039019.74,20100915,20190930,1035523976.5,484956.75999999046
91,北京国际信托,1.0,20100915,20120703,1.0,0.0
92,北京控股集团财务有限公司,500000.0,20170830,20190212,500000.0,0.0
93,北京银行股份有限公司,147825653.34,20100914,20191130,289520833.16,141695179.82000002
94,华商银行,1111111111.11,20130913,20140928,1111111111.11,0.0
95,华夏银行股份有限公司,546184239.51,20100527,20190930,368015054.65,-178169184.86
96,华融湘江银行股份有限公司,56304467.16,20120712,20191031,69208415.16,12903948.0
97,南京市区联社清算中心,100000000.0,20110728,20110728,100000000.0,0.0
98,南京银行股份有限公司,21575.42,20100914,20190930,160390978.42,160369403.0
99,南山集团财务有限公司,1.0,20101122,20120703,1.0,0.0
100,南方电网财务有限公司,800000000.0,20190410,20190930,800000000.0,0.0
101,南昌农村商业银行股份有限公司,20357548.77,20140218,20191130,115657548.77,95300000.0
102,南洋商业银行（中国）,444444444.44,20100914,20160629,444444444.44,0.0
103,南通市商业银行股份有限公司,200000000.0,20100915,20120915,200000000.0,0.0
104,南阳银行股份有限公司,1.11,20140408,20151230,1.11,0.0
105,厦门农村商业银行股份有限公司,231155201.86,20131104,20190930,289155201.86,58000000.0
106,厦门国际银行股份有限公司,12012925.0,20100914,20190930,11659839.94,-353085.0600000005
107,厦门银行股份有限公司,47483289.78,20100915,20190404,47483289.78,0.0
108,友利银行,1.0,20100914,20120703,1.0,0.0
109,台州银行股份有限公司,2042464.81,20100915,20191030,5194366.81,3151901.9999999995
110,合肥科技农村商业银行股份有限公司,6863685.78,20131010,20190930,11085685.78,4221999.999999999
111,吉安农村商业银行股份有限公司,0.01,20160113,20170830,0.01,0.0
112,吉林九台农村商业银行股份有限公司,4428982.0,20131010,20190930,4428982.0,0.0
113,吉林银行股份有限公司,62789000.0,20100915,20190930,62789000.0,0.0
114,呼和浩特金谷农村合作银行,100000000.0,20131225,20180930,100000000.0,0.0
115,哈尔滨农村商业银行股份有限公司,70000000.0,20170313,20190930,70000000.0,0.0
116,哈尔滨银行股份有限公司,122078192.9,20101122,20190930,116078192.9,-6000000.0
117,唐山银行股份有限公司,147000000.0,20131206,20190930,147000000.0,0.0
118,嘉兴银行股份有限公司,11993.92,20100914,20190930,1061993.92,1050000.0
119,四川天府银行股份有限公司,1869400.25,20100914,20191130,1369400.25,-500000.0
120,国家开发银行,8634144739.04,20100914,20190930,8634144739.04,0.0
121,国家电投集团财务有限公司,122438651.86,20100915,20190930,125938651.86,3500000.0
122,国投财务有限公司,732999844.3,20150423,20190930,794619844.3,61620000.0
123,国电财务有限公司,475845163.6,20181017,20190930,476107493.6,262330.0
124,大华银行,1.0,20100914,20120703,1.0,0.0
125,大同市商业银行,1.0,20100915,20151008,1.0,0.0
126,大同煤矿集团财务有限责任公司,555555555.56,20170104,20180326,555555555.56,0.0
127,大唐电信集团财务有限公司,111111111.11,20160509,20160630,111111111.11,0.0
128,大连农村商业银行股份有限公司,76900000.0,20140320,20190930,76400000.0,-500000.0
129,大连银行股份有限公司,207909.0,20101111,20190930,207909.0,0.0
130,天津农村商业银行股份有限公司,379077803.96,20100915,20191130,380577803.96,1500000.0
131,天津港财务有限公司,299664000.0,20170830,20191231,299664000.0,0.0
132,天津滨海农村商业银行股份有限公司,1345000000.0,20100915,20170517,1345000000.0,0.0
133,天津银行股份有限公司,137975693.96,20100914,20191130,137975693.96,0.0
134,威海市商业银行股份有限公司,51370542.62,20111019,20191130,71170542.62,19800000.000000007
135,孝感市商业银行股份有限公司,0.0,20110908,20110908,0.0,0.0
136,宁夏银行股份有限公司,4929323.91,20100914,20190930,16929323.91,12000000.0
137,宁波余姚农村商业银行股份有限公司,10962867.22,20100915,20190403,11192867.22,230000.0
138,宁波国际银行,44000000.0,20131106,20151001,44000000.0,0.0
139,宁波慈溪农村商业银行股份有限公司,6188565.54,20100915,20190930,6053565.54,-135000.0
140,宁波港集团财务有限公司,111111111.11,20150212,20160929,111111111.11,0.0
141,宁波舟山港集团财务有限公司,100000.0,20170830,20181230,100000.0,0.0
142,宁波通商银行股份有限公司,45529786.12,20140418,20190930,43629786.12,-1900000.0
143,宁波鄞州农村商业银行股份有限公司,555099.55,20100915,20190930,12105099.55,11550000.0
144,宁波银行股份有限公司,149660099.68,20100914,20190930,175260288.76,25600189.079999983
145,安徽桐城农村商业银行股份有限公司,66666666.67,20131125,20151008,66666666.67,0.0
146,安徽省能源集团财务有限公司,100000000.0,20180827,20190731,100000000.0,0.0
147,安徽马鞍山农村商业银行股份有限公司,13203234.5,20180122,20191130,18609140.19,5405905.690000001
148,安阳银行股份有限公司,1.11,20131010,20160120,1.11,0.0
149,宜宾市商业银行股份有限公司,7404810.9,20131225,20190930,7101696.14,-303114.7600000007
150,宜昌市商业银行股份有限公司,0.0,20110908,20110908,0.0,0.0
151,富滇银行股份有限公司,409174248.28,20100915,20191231,409174248.28,0.0
152,山东威海农村商业银行股份有限公司,1.11,20140208,20150930,1.11,0.0
153,山东广饶农村商业银行股份有限公司,0.01,20121116,20170830,0.01,0.0
154,山东招金集团财务有限公司,280000000.0,20190109,20190930,280000000.0,0.0
155,山东晨鸣集团财务有限公司,333333333.33,20170104,20180512,333333333.33,0.0
156,山东济南润丰农村合作银行,33333333.33,20140409,20151008,33333333.33,0.0
